,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,95.23809523809523,95.23809523809523,14.285714285714285,95.23809523809523
2,0.0,0.0,100.0,100.0,57.14285714285714,100.0
3,0.0,0.0,100.0,100.0,76.19047619047619,100.0
4,0.0,0.0,100.0,100.0,90.47619047619048,100.0
5,0.0,0.0,100.0,100.0,90.47619047619048,100.0
6,0.0,0.0,100.0,100.0,90.47619047619048,100.0
7,0.0,0.0,100.0,100.0,90.47619047619048,100.0
8,0.0,0.0,100.0,100.0,90.47619047619048,100.0
9,0.0,0.0,100.0,100.0,90.47619047619048,100.0
10,0.0,0.0,100.0,100.0,90.47619047619048,100.0
11,0.0,0.0,100.0,100.0,90.47619047619048,100.0
12,0.0,0.0,100.0,100.0,90.47619047619048,100.0
13,0.0,0.0,100.0,100.0,90.47619047619048,100.0
14,0.0,42.857142857142854,100.0,100.0,90.47619047619048,100.0
15,0.0,80.95238095238095,100.0,100.0,90.47619047619048,100.0
16,0.0,80.95238095238095,100.0,100.0,90.47619047619048,100.0
17,100.0,100.0,100.0,100.0,100.0,100.0
