,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,100.0,100.0,25.64102564102564,100.0
2,0.0,0.0,100.0,100.0,28.205128205128204,100.0
3,0.0,0.0,100.0,100.0,33.33333333333333,100.0
4,0.0,100.0,100.0,100.0,35.8974358974359,100.0
5,0.0,100.0,100.0,100.0,35.8974358974359,100.0
6,0.0,100.0,100.0,100.0,35.8974358974359,100.0
7,0.0,100.0,100.0,100.0,38.46153846153847,100.0
8,0.0,100.0,100.0,100.0,38.46153846153847,100.0
9,0.0,100.0,100.0,100.0,38.46153846153847,100.0
10,0.0,100.0,100.0,100.0,38.46153846153847,100.0
11,100.0,100.0,100.0,100.0,100.0,100.0
