,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,100.0,0.0,76.92307692307693
2,0.0,69.23076923076923,0.0,100.0,0.0,92.3076923076923
3,0.0,92.3076923076923,0.0,100.0,0.0,92.3076923076923
4,0.0,92.3076923076923,0.0,100.0,0.0,100.0
5,0.0,100.0,0.0,100.0,0.0,100.0
6,0.0,100.0,0.0,100.0,0.0,100.0
7,0.0,100.0,0.0,100.0,0.0,100.0
8,0.0,100.0,0.0,100.0,0.0,100.0
9,0.0,100.0,0.0,100.0,0.0,100.0
10,0.0,100.0,0.0,100.0,0.0,100.0
11,0.0,100.0,0.0,100.0,0.0,100.0
12,0.0,100.0,0.0,100.0,0.0,100.0
13,0.0,100.0,0.0,100.0,0.0,100.0
14,0.0,100.0,0.0,100.0,0.0,100.0
15,0.0,100.0,0.0,100.0,0.0,100.0
16,0.0,100.0,0.0,100.0,0.0,100.0
17,0.0,100.0,0.0,100.0,0.0,100.0
18,0.0,100.0,0.0,100.0,0.0,100.0
19,0.0,100.0,0.0,100.0,0.0,100.0
20,100.0,100.0,100.0,100.0,100.0,100.0
